                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1452,                 3.7312,                 1.3342,                0.01622,                0.44939,                0.23064,                0.18425,                0.73233,                  3.668,                 1.0195,                0.00015,                0.00015,                0.00015
                      2,                0.85943,                   2.52,                 1.0919,                0.01653,                0.44921,                0.26587,                0.20917,                0.75367,                 3.3881,                0.97158,             0.00028156,             0.00028156,             0.00028156
                      3,                0.88443,                 1.6991,                 1.0926,                0.01499,                0.83703,                0.58988,                0.46734,                 0.7946,                  3.082,                 1.0071,             0.00038095,             0.00038095,             0.00038095
                      4,                0.85248,                 1.5826,                 1.0293,                      1,                0.21015,                0.70136,                 0.5353,                0.81687,                 2.8363,                 1.0346,             0.00044816,             0.00044816,             0.00044816
                      5,                0.81422,                 1.4142,                 1.0149,                0.96282,                0.34593,                0.79797,                0.59832,                 0.8549,                  2.412,                 1.0424,              0.0004832,              0.0004832,              0.0004832
                      6,                0.78721,                 1.2811,                 1.0024,                0.80846,                0.64992,                0.87376,                0.65683,                0.80837,                 2.0353,                 1.0015,             0.00048606,             0.00048606,             0.00048606
                      7,                0.75074,                 1.1919,                0.97209,                0.79884,                0.71591,                0.88361,                 0.6527,                0.82082,                 1.8375,                 1.0019,             0.00045675,             0.00045675,             0.00045675
                      8,                0.74362,                 1.1657,                0.97685,                0.79168,                0.74669,                 0.8851,                0.67747,                0.80144,                 1.7088,                 0.9789,             0.00038375,             0.00038375,             0.00038375
                      9,                0.75595,                 1.1278,                0.97142,                0.81882,                0.79544,                0.88849,                 0.7131,                0.75542,                  1.535,                0.95995,             0.00038375,             0.00038375,             0.00038375
                     10,                0.70832,                 1.0748,                0.97879,                 0.8213,                0.83325,                0.89457,                0.72712,                0.74865,                 1.4124,                0.96314,                0.00026,                0.00026,                0.00026
